COLLEGE,DEGREE,MAJOR,PROGRAM
SS,BA,PSYC,BA-SOC SCI
AH,BA,ARHI,BA-ART/HUMAN
NM,BA,INSC,BA-NAT SCI
NM,BA,ENVI,BA-NAT SCI
NM,BS,BIOC,BS-NAT SCI
DC,BSBA,UNBU,BSBA
EN,BSCPE,ENCO,BSCPE-ECS
AH,BA,EDPX,BA-ART/HUMAN
NM,BA,PHYS,BA-NAT SCI
EN,BSME,ENME,BSME-ECS
NM,BS,BIOL,BS-NAT SCI
AH,BM,MUZJ,BM
NM,BS,ENVI,BS-NAT SCI
NM,BS,MBIO,BS-NAT SCI
EN,BS,COMP,BS-ECS
SS,BA,ECON,BA-SOC SCI
SS,BA,GWST,BA-SOC SCI
AH,BA,FREF,BA-ART/HUMAN
SS,BA,SCOM,BA-SOC SCI
NM,BA,GEOG,BA-NAT SCI
SS,BA,ANTH,BA-SOC SCI
NM,BA,MATH,BA-NAT SCI
AH,BA,ENGS,BA-ART/HUMAN
AH,BM,MUPR,BM
DC,BSAC,ACTG,BSACC
DC,BSBA,HPM,BSBA
NM,BS,ENVC,BS-NAT SCI
SS,BA,JOUR,BA-SOC SCI
SS,BA,SOCI,BA-SOC SCI
SS,BS,PSYC,BS-SOC SCI
AH,BA,MUSC,BA-ART/HUMAN
NM,BA,CHEM,BA-NAT SCI
EN,BS,ENGR,BS-ENGR
IS,BA,INTS,BA-INTS
SS,BA,CRIM,BA-SOC SCI
SS,BA,COMS,BA-SOC SCI
SS,BA,PLSC,BA-SOC SCI
AH,BA,ART,BA-ART/HUMAN
NM,BS,EBIO,BS-NAT SCI
AH,BA,HIST,BA-ART/HUMAN
SS,BA,FILM,BA-SOC SCI
IS,BA,PPOL,BA-INTS
DC,BSBA,BANA,BSBA
DC,BSBA,MGMT,BSBA
AH,BA,UNAH,BA-ART/HUMAN
EN,BA,APCO,BA-ECS
NM,BS,PHED,BS-NAT SCI
AH,BA,THEA,BA-ART/HUMAN
NM,BS,PHYS,BS-NAT SCI
SS,BA,MDST,BA-SOC SCI
AH,BFA,EDPX,BFA
NM,BS,CHEM,BS-NAT SCI
NM,BA,UNNS,BA-NAT SCI
NM,BA,BIOL,BA-NAT SCI
NM,BS,MATH,BS-NAT SCI
EN,BSEE,ENEE,BSEE-ECS
DC,BSBA,MKTG,BSBA
SS,BA,SLGS,BA-SOC SCI
NM,BA,EBIO,BA-NAT SCI
SS,BA,UNSS,BA-SOC SCI
UG,BA,UNDE,BAUNDE
EN,BA,GADE,BA-ECS
DC,BSBA,INTB,BSBA
AH,BM,MRAP,BM
AH,BA,PHIL,BA-ART/HUMAN
DC,BSBA,FIN,BSBA
EN,BS,GADE,BS-ECS
DC,BSBA,REBE,BSBA
AH,BFA,STAR,BFA
AH,BM,MUCP,BM
